,url,title
17,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-76---Using-Direct-Object-and-Indirect-Object-Pronouns-Together-eg0uuc,The Language Tutor Spanish - Lesson 76 - Using Direct Object and Indirect Object Pronouns Together
18,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-75---First-Responders-Spanish-efmvcm,The Language Tutor Spanish - Lesson 75 - First Responders Spanish
19,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-73---Relative-Pronouns-ef2uqh,The Language Tutor Spanish - Lesson 73 - Relative Pronouns
20,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-72---The-Word-Ya-eejd4e,"The Language Tutor Spanish - Lesson 72 - The Word ""Ya"""
21,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-71---Prepositional-Pronouns-eef8tq,The Language Tutor Spanish - Lesson 71 - Prepositional Pronouns
22,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-70---Qu-vs--Cul-ee4pvj,The Language Tutor Spanish - Lesson 70 - Qué vs. Cuál
23,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Episode-69---The-Passive-Voice-ep4o1u,The Language Tutor Spanish - Episode 69 - The Passive Voice
24,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-68---Possessive-Pronouns-edhrsg,The Language Tutor Spanish - Lesson 68 - Possessive Pronouns
25,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-67---Negation-Words-ed8iuu,The Language Tutor Spanish - Lesson 67 - Negation Words
26,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-66---Adjectives-and-Nouns-Working-Together-ecvanh,The Language Tutor Spanish - Lesson 66 - Adjectives and Nouns Working Together
27,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-65---The-Past-Anterior-eclu7a,The Language Tutor Spanish - Lesson 65 - The Past Anterior
28,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-64---More-Past-Tense-Verbs-eccuig,The Language Tutor Spanish - Lesson 64 - More Past Tense Verbs
29,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-63---Conditional-Perfect-ec2uk5,The Language Tutor Spanish - Lesson 63 - Conditional Perfect
30,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-62---Future-Perfect-Indicative-ebp244,The Language Tutor Spanish - Lesson 62 - Future Perfect Indicative
31,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-61---Past-Perfect-Subjunctive-ebhg2p,The Language Tutor Spanish - Lesson 61 - Past Perfect Subjunctive
32,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-60---The-Present-Perfect-Subjunctive-ebb8f7,The Language Tutor Spanish - Lesson 60 - The Present Perfect Subjunctive
33,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-59---Imperfect-Subjunctive-eb5k8q,The Language Tutor Spanish - Lesson 59 - Imperfect Subjunctive
34,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-58-eb0jk7,The Language Tutor Spanish - Lesson 58
35,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-57---Past-Perfect-Indicative-eanj6s,The Language Tutor Spanish - Lesson 57 - Past Perfect Indicative
36,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-56---This--These--That-and-Those-eaj4b4,"The Language Tutor Spanish - Lesson 56 - This, These, That and Those"
37,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-55---Present-Perfect-Indicative-eae0ir,The Language Tutor Spanish - Lesson 55 - Present Perfect Indicative
38,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-54-ea9232,The Language Tutor Spanish - Lesson 54
39,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-53---4-Irregular-Verbs-ea4ger,The Language Tutor Spanish - Lesson 53 - 4 Irregular Verbs
40,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-52-ea057t,The Language Tutor Spanish - Lesson 52
41,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-51---The-Future-Tense-e9skjo,The Language Tutor Spanish - Lesson 51 - The Future Tense
42,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-50---The-Imperfect-Tense-ecl1hi,The Language Tutor Spanish - Lesson 50 - The Imperfect Tense
43,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-49---The-Word-Que-e9h6l1,"The Language Tutor Spanish - Lesson 49 - The Word ""Que"" "
44,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-48-e9d3oe,The Language Tutor Spanish - Lesson 48
45,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-47---Por-vs-Para-e995eb,The Language Tutor Spanish - Lesson 47 - Por vs Para
46,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-46---Past-Tense-Verbs---part-3-of-3-e9921r,The Language Tutor Spanish - Lesson 46 - Past Tense Verbs - part 3 of 3
47,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-45---Past-Tense-Verbs---part-2-of-3-e9920s,The Language Tutor Spanish - Lesson 45 - Past Tense Verbs - part 2 of 3
48,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-44---Past-Tense-Verbs-part-1-of-3-e991ud,The Language Tutor Spanish - Lesson 44 - Past Tense Verbs part 1 of 3
49,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-43---The-Verb-To-SayTell-in-Spanish-e96js9,"The Language Tutor Spanish - Lesson 43 - The Verb ""To Say/Tell"" in Spanish"
50,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-42---Present-Progressive-e96jpu,The Language Tutor Spanish - Lesson 42 - Present Progressive
51,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-41---The-Verb-To-Know-e95itu,"The Language Tutor Spanish - Lesson 41 - The Verb ""To Know"""
52,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-40---Grammar-Structures-Part-2-e91iuo,The Language Tutor Spanish - Lesson 40 - Grammar Structures Part 2
53,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-39---Grammar-Structures-Part-1-e91iu1,The Language Tutor Spanish - Lesson 39 - Grammar Structures Part 1
54,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-38---Reflexive-Verbs-e8tj2c,The Language Tutor Spanish - Lesson 38 - Reflexive Verbs
55,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-37---Reflexive-Structure-e8tj13,The Language Tutor Spanish - Lesson 37 - Reflexive Structure
56,https://podcasters.spotify.com/pod/show/danny-evans/episodes/The-Language-Tutor-Spanish---Lesson-36---Culture-Related-Words-e8tj0n,The Language Tutor Spanish - Lesson 36 - Culture Related Words
