date_,wp,rsi_old,rsi
20150410,183.6075,5.3884,3.8026611410128623
20150413,183.3265,5.2035,3.5232782253601727
20150414,183.1,5.0538,3.3622026272540566
20150415,184.2005,5.6441,3.893170609332458
20150416,184.123,5.5921,3.3637010416617414
20150417,182.0742,4.2404,2.3245639902502333
20150420,183.563,5.0428,3.0150289838825515
20150421,183.6525,5.0906,2.3719822023872297
20150422,184.0135,5.2844,2.3873623315173305
20150423,184.7302,5.668,2.747107109040371
20150424,185.1982,5.9174,2.8504284092648646
20150427,184.788,5.6402,2.7154885860540574
20150428,184.611,5.5203,3.325864072855353
20150429,184.2375,5.2663,2.692460433164854
20150430,182.6717,4.2163,1.400087093412779
20150501,184.1158,5.0125,2.2368028038871373
20150504,185.0568,5.5217,2.5157526653850297
20150505,183.3665,4.4045,2.133581431857017
20150506,182.219,3.6639,1.9622778666481082
20150507,182.6298,3.8909,3.1625433173046673
20150508,185.0838,5.2145,4.022175541739088
20150511,184.5885,4.8933,5.1828007632802695
20150512,183.6355,4.2795,5.3980041247541735
20150513,184.0183,4.4859,6.141217885809269
20150514,185.4748,5.2624,5.996611200074668
20150515,185.853,5.4618,3.348869213713101
20150518,186.376,5.7372,3.6248172560688303
20150519,186.4928,5.7989,3.345967126609878
20150520,186.4358,5.7606,3.0432550525887905
20150521,186.7092,5.9072,3.135048339409181
20150522,186.5152,5.7747,2.7645129736111684
20150526,184.778,4.6043,1.668801349626868
20150527,185.7858,5.1557,2.636337630352905
20150528,185.8058,5.1667,3.476199601196633
20150529,185.004,4.6282,3.3526316550114856
20150601,185.134,4.7006,5.153514971893422
20150602,184.927,4.5605,6.139749123163284
20150603,185.5145,4.8917,5.660076414197945
20150604,184.2075,4.0072,3.139332709755351
20150605,183.6025,3.6034,3.253535068472388
20150608,182.7415,3.0334,3.6372813093275767
20150609,182.4103,2.8151,3.65072607480829
20150610,184.362,3.9433,6.034614535794752
20150611,185.2308,4.4331,6.870212910116571
20150612,184.0582,3.6551,5.501167772833767
20150615,182.8015,2.8376,4.258088433799337
20150616,183.7025,3.3523,4.300528387359108
20150617,184.2052,3.6375,3.3687306933217016
20150618,185.8805,4.5723,4.306092333736736
20150619,185.4725,4.303,4.094679056970982
20150622,186.4528,4.8439,5.956091087012467
20150623,186.4705,4.8536,7.013862596193071
20150624,185.4873,4.1972,6.260709671522221
20150625,184.845,3.7727,6.535559357580773
20150626,184.541,3.5721,5.905030210775038
20150629,181.6087,1.6928,2.239569593398336
20150630,181.253,1.4715,2.0355100830207746
20150701,182.4005,2.139,1.9196302392290292
20150702,182.413,2.1463,1.9097703846683203
20150706,181.7435,1.7228,2.076870498823695
20150707,182.1268,1.9484,1.4782430608664967
20150708,180.285,0.7961,0.04559524994693476
20150709,180.7105,1.0495,-0.56551151868711
20150710,182.032,1.8278,-0.33324599427434265
20150713,184.3275,3.1351,0.8753343762694996
20150714,185.1512,3.5916,1.3330053524922647
20150715,185.2508,3.6467,1.4229134382212294
20150716,186.5628,4.3683,1.8394723595706495
20150717,186.7442,4.4673,1.7285243110102897
20150720,187.0208,4.6188,1.5991386941717352
20150721,186.3732,4.1922,1.1554932935117748
20150722,185.8902,3.875,1.072713635426446
20150723,185.0615,3.3341,0.7790386787264509
20150724,183.3662,2.2502,-0.6448240356715687
20150727,181.9002,1.3387,-1.1872605817192436
20150728,183.5655,2.2936,0.3365893112629763
20150729,185.1115,3.1555,1.0187104667727453
20150730,185.1585,3.1815,2.2691150482359603
20150731,185.2632,3.2399,2.216855953766178
20150803,184.4122,2.7007,3.205915752734761
20150804,184.2078,2.5714,3.4831490503347453
20150805,184.9445,2.9909,3.456785424035303
20150806,183.5582,2.1148,1.7919904860063056
20150807,182.734,1.6024,0.9327110024737735
20150810,184.9272,2.8485,2.2319522981718194
20150811,183.5035,1.9711,0.4465707292851775
20150812,183.013,1.6726,0.20033301338995102
20150813,183.563,1.985,-0.30250210458470406
20150814,183.949,2.204,-0.0529499716123496
20150817,184.678,2.6163,0.9242690191845284
20150818,184.753,2.6587,2.3313156394312884
20150819,183.3765,1.7986,2.2272463372085625
20150820,180.3422,-0.0191,0.2199917582058788
20150821,175.1745,-2.8647,-3.8841720601163345
20150824,166.88,-6.8478,-7.354784240951851
20150825,166.422,-7.0502,-7.03649010082804
