date_,wp,rsi_old,rsi
20060214,102.2748,3.3833,4.665619089654733
20060215,102.7205,3.8905,6.4240551162248565
20060216,103.477,4.7348,7.117409853088304
20060217,103.4075,4.6419,6.843001704761335
20060221,103.258,4.4413,6.4939568214487196
20060222,103.7088,4.9452,7.0417996987916425
20060223,103.5445,4.7224,6.713999898845451
20060224,103.7482,4.9513,6.393906920006415
20060227,103.9898,5.2222,6.180425554702261
20060228,103.231,4.1878,5.33127116149241
20060301,103.689,4.7051,6.938332478404334
20060302,103.6912,4.7077,8.677285294258887
20060303,103.5942,4.5745,9.483182374773556
20060306,103.0068,3.7737,8.341904051443827
20060307,102.6305,3.2681,8.731242333127447
20060308,102.7555,3.4151,9.025642663544815
20060309,102.5285,3.1087,9.561929973124087
20060310,103.0338,3.7058,10.559262333342403
20060313,103.4072,4.1418,10.176582475119432
20060314,104.1942,5.043,10.4969326102511
20060315,104.7718,5.6885,12.111051629828566
20060316,105.2072,6.1678,11.741768938664002
20060317,104.8385,5.6529,12.403096902264203
20060320,104.7293,5.5006,12.218427393319935
20060321,104.2587,4.8478,10.359073009219742
20060322,104.4752,5.0933,10.556127361856852
20060323,104.4082,4.9998,10.475679760025841
20060324,104.5028,5.1084,12.11937681699682
20060327,104.363,4.9106,11.067654526010877
20060328,103.9428,4.3183,9.574532653650536
20060329,104.316,4.7561,9.884315246799744
20060330,104.3657,4.8144,9.233139622438038
20060331,104.2092,4.5909,8.194458784289921
20060403,104.3008,4.7,8.537520214860173
20060404,104.5798,5.0327,8.68918445894058
20060405,105.0728,5.6146,9.313924708665589
20060406,104.968,5.4606,8.943180243251447
20060407,104.3038,4.4938,7.369923422269359
20060410,104.1142,4.2215,6.486130300869604
20060411,103.4548,3.2853,5.473021278897171
20060412,103.4345,3.2568,5.839365207813529
20060413,103.3252,3.1019,5.662775478641215
20060417,103.273,3.0274,4.72365327006203
20060418,104.5672,4.6204,5.504049585274437
20060419,104.9808,5.1116,5.526101098634236
20060420,105.294,5.4804,5.380980736181492
20060421,105.294,5.4804,4.593959019795278
20060424,104.988,5.0298,3.972586522123798
20060425,104.697,4.6038,4.353497126846925
20060426,104.7912,4.7185,4.650814671519427
20060427,104.9982,4.9708,5.621108976177908
20060428,105.4235,5.4857,5.241378693014347
20060501,104.9282,4.7493,4.25482282607414
20060502,105.3318,5.2382,5.151347351767399
20060503,105.0402,4.8061,4.213781810344855
20060504,105.282,5.1003,5.554140230944434
20060505,106.2928,6.3017,6.897599284281931
20060508,106.3348,6.3507,6.698195124348004
20060509,106.4342,6.4676,6.704238177819896
20060510,106.3152,6.2855,5.787041537189722
20060511,105.3292,4.8067,3.757888935099757
20060512,104.0147,2.9339,2.1159506085180695
20060515,103.808,2.6481,2.8937539778565693
20060516,103.8705,2.726,3.6963346408595115
20060517,102.2475,0.5438,1.6170157363847366
20060518,101.5605,-0.3351,0.4258433380256079
20060519,101.849,0.0334,0.3811774610443024
20060522,101.304,-0.656,-0.4940762161804386
20060523,100.9902,-1.0482,-0.03587896520703282
20060524,101.1148,-0.8861,0.26770987762861864
20060525,102.2598,0.5722,2.060931058514548
20060526,102.8572,1.3077,3.5298823550139247
20060530,101.5453,-0.3316,0.28659254435658
20060531,102.1032,0.3499,-0.021251699467086382
20060601,103.079,1.5096,1.0767805238102
20060602,103.472,1.9661,0.7085246133819822
20060605,102.3195,0.5564,-1.2337667153329477
20060606,101.6875,-0.1921,-1.9790428578145338
20060607,101.3412,-0.5968,-2.824738319846439
20060608,100.6917,-1.3461,-3.2152063224499443
20060609,100.948,-1.0375,-2.6887914323415103
20060612,99.8628,-2.264,-3.5438182192566003
20060613,98.8394,-3.3767,-4.26601492590828
20060614,98.9184,-3.2798,-4.665590282719137
20060615,100.7937,-1.059,-0.8162680388129857
20060616,100.2014,-1.7013,-1.4377644432325383
20060619,99.5964,-2.3465,-2.3228862442602676
20060620,99.6785,-2.2508,-2.145431801719141
20060621,100.2686,-1.5665,-2.142017541487
20060622,99.9423,-1.9182,-3.4282241385209105
20060623,99.9848,-1.8686,-3.55927119799761
20060626,100.2063,-1.6093,-2.69098848662653
20060627,99.7036,-2.1577,-3.6441523978036656
20060628,99.9301,-1.8901,-2.4766279995660483
20060629,101.787,0.2248,0.0987734604162398
20060630,102.1778,0.6524,0.6964208032606507
20060703,102.5438,1.0501,1.7983976165707816
20060705,101.9785,0.4162,0.5860851856269775
20060706,102.327,0.7967,0.7137337980409271
20060707,101.747,0.1497,0.2537222220651074
20060710,101.849,0.2622,0.4743273974381239
20060711,101.981,0.4086,-0.3269001550287314
20060712,101.3485,-0.2992,-1.534093598844258
20060713,99.8552,-1.9095,-3.9816393553900937
20060714,99.1633,-2.6278,-4.592405654257163
20060717,99.1188,-2.6738,-4.482716306625619
20060718,99.1994,-2.5805,-4.921648594535682
20060719,100.5846,-1.0127,-3.131433501071861
20060720,100.465,-1.1397,-3.498457120710576
20060721,99.7159,-1.9285,-4.511112364754986
20060724,100.9456,-0.5745,-2.371123323508712
20060725,101.6052,0.13,-2.158008190709168
20060726,101.7918,0.3276,-1.9640621038860644
20060727,101.7895,0.3252,-1.871757490383665
20060728,102.536,1.1163,-0.4788119851941488
20060731,102.3892,0.9551,-0.2521613033511798
20060801,102.0508,0.5836,-0.7321969495722271
20060802,102.7778,1.3531,0.2626333421358851
20060803,102.84,1.4185,-0.19951704984676866
20060804,102.9967,1.5841,-0.42424002385333637
20060807,102.6255,1.1668,-1.6454946705184952
20060808,102.3942,0.9077,-2.5087487576460177
20060809,102.1703,0.6567,-3.2180081099483715
20060810,102.0655,0.539,-2.953887819918762
20060811,101.8693,0.3177,-3.0418150337898453
20060814,102.205,0.6908,-2.1853417605035332
20060815,103.1435,1.7145,-1.3877619910026127
20060816,104.0448,2.6677,-0.36546076149030426
20060817,104.3282,2.9628,-0.17648459343192968
20060818,104.6745,3.3217,0.32233299716994424
20060821,104.4305,3.0336,0.4983420977155504
20060822,104.4433,3.047,0.13185369288513016
20060823,104.169,2.7205,-0.20543036756557598
20060824,104.107,2.6465,-0.10610966970005364
20060825,104.229,2.7782,-0.07277444725352211
20060828,104.5975,3.1757,0.022050287611101282
20060829,104.6968,3.2827,-0.3891673114148446
20060830,104.926,3.5304,-0.041077278935190975
20060831,104.9108,3.5114,0.6367220495449146
20060901,105.3888,4.0298,1.3342101931073884
20060905,105.6355,4.2955,2.296549992213478
20060906,104.8412,3.2938,1.4475601972758128
20060907,104.2962,2.6209,0.990358791673529
20060908,104.5175,2.865,1.2745059308591848
20060911,104.5375,2.8871,-0.030962965913744256
20060912,105.4662,3.9035,0.5136995257335641
20060913,106.0512,4.5277,0.7878977819824087
20060914,106.0638,4.541,0.7948255383090981
20060915,105.9568,4.4036,1.0031155049486955
20060918,106.0288,4.4815,1.3875772498169638
20060919,105.72,4.081,0.9595864620990255
20060920,106.335,4.7503,1.3804382218762896
20060921,105.944,4.2426,0.5313447363534607
20060922,105.466,3.6284,0.5484215328156168
20060925,106.1382,4.3625,0.832129324939892
20060926,106.952,5.229,1.9439061293016735
20060927,107.276,5.5683,2.018961507207713
20060928,107.2635,5.5519,1.0013879146929767
20060929,107.2285,5.5055,0.9218376295840116
20061002,106.8152,4.9587,0.3863101285670041
20061003,106.987,5.1442,0.6897763338971217
20061004,107.9478,6.1644,2.692631745115598
20061005,108.132,6.3567,4.3207349301524545
20061006,108.2665,6.4975,4.685251152267398
20061009,108.3835,6.6203,4.736913192779063
20061010,108.5328,6.7777,6.807498954009695
20061011,108.3535,6.529,7.435356801806137
20061012,109.2275,7.447,7.984448743366464
20061013,109.5582,7.7878,8.967606139900205
20061016,109.79,8.0257,9.576300783005259
20061017,109.399,7.4737,8.956279523256029
20061018,109.6925,7.7783,8.193847105938332
20061019,109.7078,7.7941,7.647885278032696
20061020,109.7525,7.8411,9.429388847021805
20061023,110.1832,8.2922,9.31412185468983
20061024,110.5615,8.6843,8.745636706752556
20061025,110.8972,9.0297,8.68991647914698
20061026,111.2635,9.4037,10.663016863335145
20061027,110.813,8.7376,10.9164813059758
20061030,110.6113,8.4412,11.131754980432845
20061031,110.5888,8.408,12.069319509507416
20061101,110.1138,7.7088,11.11141058454001
20061102,109.74,7.1649,12.186110122409893
20061103,109.5835,6.9379,13.54945699511746
20061106,110.646,8.0793,14.443789117743222
20061107,111.2015,8.658,13.245375379174085
20061108,111.102,8.5119,14.041452846632502
20061109,111.057,8.4454,14.979934309939125
20061110,110.8778,8.1792,14.599032260760417
20061113,111.2112,8.5341,14.366684547479665
20061114,111.7988,9.1508,15.462455046338142
20061115,112.3838,9.7529,15.94407665562774
20061116,112.565,9.9377,15.905181133359363
20061117,112.5928,9.9661,16.79171355927499
20061120,112.7222,10.0996,16.70837821640975
20061121,112.829,10.2101,15.113394324311642
20061122,113.0755,10.4653,14.97641313916479
20061124,112.7345,9.9281,14.006125176307386
20061127,111.4998,8.042,12.833960760390404
20061128,111.4228,7.9272,12.370013536448049
20061129,112.4882,9.0594,14.429156693842891
20061130,112.7545,9.3356,14.577688614191025
20061201,112.381,8.7737,13.804000885174759
20061204,113.2248,9.6457,15.69052023612624
20061205,113.7675,10.1928,18.84908673581923
20061206,113.778,10.2033,20.16825311086138
20061207,113.5115,9.7973,19.735702614833674
20061208,113.4665,9.7286,19.586841006445752
20061211,113.7798,10.0513,18.668249661749456
20061212,113.601,9.7752,18.54713632510174
20061213,113.8918,10.0768,20.284205907642004
20061214,114.6338,10.8338,19.86766724934215
